x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x-total,y-total
14,9.611537305699482,14,10.344313577023499,14,12.241013836136734,14,10.58565999952048,14,9.708973008170812,14,13.335238887137207,14,10.971122768948035
15,9.32151139896373,15,10.252146475195822,15,12.573667118827998,15,10.3459,15,10.31647789309877,15,15.222359174167293,15,11.338677010042268
16,10.631982901554402,16,11.66512872062663,16,11.989944926749864,16,11.04058000277872,16,10.925319022639025,16,16.066838394472324,16,12.053298994803493
17,13.189231606217612,17,13.393106657963447,17,11.658795876288659,17,11.45845999918568,17,11.281162725311376,17,17.431593194264124,17,13.068725009871818
18,15.084956994818652,18,12.625547911227155,18,11.686630927835052,18,11.32273999945712,18,11.136484061328453,18,18.947814336618674,18,13.467362371880851
19,15.884107772020725,19,12.117677154046998,19,11.565301030927836,19,10.465419997563759,19,11.888836761983711,19,18.54830036432102,19,13.411607180144008
20,15.456581865284974,20,11.828242036553524,20,11.331443190450353,20,9.2473,20,11.990817481515892,20,18.656968164785983,20,13.085225456431786
21,14.453503626943006,21,12.158268146214098,21,11.224129896907217,21,10.19806000380304,21,11.737424163185471,21,18.220197085572526,21,12.998597153770893
22,13.272216062176165,22,12.423144908616187,22,11.164336082474227,22,10.76085999872128,22,12.39673007917162,,,22,12.003457426231895
23,11.876684974093264,23,12.624042558746737,23,11.70036690179056,23,10.547739999147518,23,12.839347301149493,,,23,11.917636346985514
24,13.49253212435233,24,12.134225326370757,24,12.35913559413999,24,10.262019999355958,24,12.502901543659636,,,24,12.150162917575733
25,14.724269430051812,25,11.548008093994778,25,14.060003743895823,25,9.94,25,11.699256556629598,,,25,12.394307564914403
26,13.678220207253887,26,10.8581908616188,26,15.298123440043407,26,11.17816000495264,26,10.882094603861454,,,26,12.378957823546036
27,13.452065284974093,27,11.533905613577023,27,14.661878187737384,27,12.02972000047016,27,11.615513625112305,,,27,12.658616542374194
28,13.150501036269432,28,11.830230548302872,28,14.206946825827455,28,12.10808000031344,28,11.7842,,,28,12.615991682142639
29,11.532236787564766,29,11.498246214099217,29,14.081444926749866,29,12.83004000208752,29,12.731876604882398,,,29,12.534768907076753
30,11.408531606217617,30,12.48774360313316,30,12.818597395550732,30,13.8738,30,14.501041904281383,,,30,13.017942901836577
31,11.803386528497407,31,13.4674545691906,31,10.471717308735757,31,15.608040006936958,31,15.184486632601576,,,31,13.307017009192458
32,10.454940932642486,32,14.119021148825066,32,10.3451331524688,32,16.200459989852682,32,14.975217738538001,,,32,13.218954592465408
33,9.933413471502591,33,13.608949347258484,33,11.317081063483451,33,14.509239993235122,33,14.89294910022519,,,33,12.852326595140969
34,10.013335751295337,34,13.334064882506526,34,12.211538252848616,34,13.90233999987052,34,15.204143446932282,,,34,12.933084466690655
35,9.873827979274612,35,14.250840339425588,35,13.089671730873572,35,13.8376,35,16.052318251949828,,,35,13.42085166030472
36,10.15879170984456,36,15.083206657963448,36,13.193619370591426,36,15.171820005336881,36,15.591707970357563,,,36,13.839829142818777
37,10.889102590673577,37,15.318962793733682,37,13.403607433532285,37,16.845420014114165,37,14.67006272467667,,,37,14.225431111346074
,,38,13.603753916449083,38,14.347231958762885,38,19.19778000940944,38,14.547253473661048,,,38,15.424004839570614
,,39,14.305948172323761,39,15.06568117200217,39,17.561619992739164,39,15.83854910016157,,,39,15.692949609306666
,,40,16.017001305483028,40,15.25113966359197,40,13.9312,40,16.210040101777277,,,40,15.35234526771307
,,41,17.433058746736297,41,15.213909061313077,,,41,16.58146915196694,,,41,16.409478986672102
,,42,15.911309399477803,42,14.908862940857299,,,,,,,42,15.410086170167551
,,43,13.057531201044386,43,15.90229956592512,,,,,,,43,14.479915383484752
,,44,13.824176109660575,44,17.722429788388496,,,,,,,44,15.773302949024536
,,45,14.15361187989556,45,18.673048996201846,,,,,,,45,16.413330438048703
,,46,14.06034125326371,46,19.361003418339664,,,,,,,46,16.710672335801686
,,47,11.48214281984334,47,19.382636625067825,,,,,,,47,15.432389722455582
,,48,11.660684595300264,,,,,,,,,48,11.660684595300264
,,49,14.57400052219321,,,,,,,,,49,14.57400052219321
,,50,15.339766840731071,,,,,,,,,50,15.339766840731071
,,51,15.504593994778066,,,,,,,,,51,15.504593994778066
,,52,14.983575718015667,,,,,,,,,52,14.983575718015667
,,53,12.745415404699736,,,,,,,,,53,12.745415404699736
,,54,11.228552219321148,,,,,,,,,54,11.228552219321148
,,55,11.21719451697128,,,,,,,,,55,11.21719451697128
,,56,11.963362010443864,,,,,,,,,56,11.963362010443864
,,57,12.379838511749346,,,,,,,,,57,12.379838511749346
,,58,11.74609177545692,,,,,,,,,58,11.74609177545692
,,59,10.788906266318538,,,,,,,,,59,10.788906266318538
